scaffold_id	mag_ids	note
VB15-29_k141_63203	MASTER_WP4_FFoQSI_3__VB15-29__bin.40, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
VB15-29_k141_4905	MASTER_WP4_FFoQSI_3__VB15-29__bin.3, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_41603	MASTER_WP4_FFoQSI_3__VB15-29__bin.3, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
VB15-29_k141_46326	MASTER_WP4_FFoQSI_3__VB15-29__bin.3, MASTER_WP4_FFoQSI_2__VB15-29__bin.11	duplicate across MAGs
VB15-29_k141_47240	MASTER_WP4_FFoQSI_3__VB15-29__bin.3, MASTER_WP4_FFoQSI_2__VB15-29__bin.8	duplicate across MAGs
VB15-29_k141_65932	MASTER_WP4_FFoQSI_3__VB15-29__bin.3, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
s28.ctg000032c	Wy2_bin.circ.3, We5_bin.circ.8	duplicate across MAGs
VB15-29_k141_6809	MASTER_WP4_FFoQSI_3__VB15-29__bin.35, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
VB15-29_k141_8573	MASTER_WP4_FFoQSI_3__VB15-29__bin.35, MASTER_WP4_FFoQSI_2__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_34598	MASTER_WP4_FFoQSI_3__VB15-29__bin.35, MASTER_WP4_FFoQSI_2__VB15-29__bin.8	duplicate across MAGs
VB15-29_k141_9966	MASTER_WP4_FFoQSI_3__VB15-29__bin.50, MASTER_WP4_FFoQSI_2__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_59910	MASTER_WP4_FFoQSI_3__VB15-29__bin.50, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
VB15-29_k141_360	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.29	duplicate across MAGs
VB15-29_k141_4838	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_5455	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.33	duplicate across MAGs
VB15-29_k141_5950	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.38	duplicate across MAGs
VB15-29_k141_9598	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.29	duplicate across MAGs
VB15-29_k141_11380	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.49	duplicate across MAGs
VB15-29_k141_14889	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_28567	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.28	duplicate across MAGs
VB15-29_k141_32098	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_35616	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_36004	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.29	duplicate across MAGs
VB15-29_k141_36734	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.43	duplicate across MAGs
VB15-29_k141_44454	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_53557	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.33	duplicate across MAGs
VB15-29_k141_55587	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.43	duplicate across MAGs
VB15-29_k141_56236	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.39	duplicate across MAGs
VB15-29_k141_59494	MASTER_WP4_FFoQSI_2__VB15-29__bin.11, MASTER_WP4_FFoQSI_3__VB15-29__bin.39	duplicate across MAGs
VB15-29_k141_2763	MASTER_WP4_FFoQSI_3__VB15-29__bin.8, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
VB15-29_k141_5113	MASTER_WP4_FFoQSI_3__VB15-29__bin.8, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
VB15-29_k141_19184	MASTER_WP4_FFoQSI_3__VB15-29__bin.8, MASTER_WP4_FFoQSI_2__VB15-29__bin.12	duplicate across MAGs
VB15-29_k141_22502	MASTER_WP4_FFoQSI_3__VB15-29__bin.8, MASTER_WP4_FFoQSI_2__VB15-29__bin.8	duplicate across MAGs
SternesPR_2017_k119_15586	SternesPR_2017__T1D1_B_shotgun__bin.4, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_24075	SternesPR_2017__T1D1_B_shotgun__bin.4, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_27148	SternesPR_2017__T1D1_B_shotgun__bin.4, SternesPR_2017__Y3D3_B_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_33373	SternesPR_2017__T1D1_B_shotgun__bin.4, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_14586	SternesPR_2017__T2D3_A_shotgun__bin.6, SternesPR_2017__T1D1_B_shotgun__bin.5	duplicate across MAGs
SternesPR_2017_k119_27023	SternesPR_2017__T2D1_A_shotgun__bin.2, SternesPR_2017__T1D1_B_shotgun__bin.5	duplicate across MAGs
VB15-29_k141_15540	MASTER_WP4_FFoQSI_3__VB15-29__bin.9, MASTER_WP4_FFoQSI_2__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_28424	MASTER_WP4_FFoQSI_3__VB15-29__bin.9, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
SternesPR_2017_k119_6440	SternesPR_2017__T1D1_B_shotgun__bin.5, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_8038	SternesPR_2017__T1D1_B_shotgun__bin.5, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_21839	SternesPR_2017__T1D1_B_shotgun__bin.5, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_24744	SternesPR_2017__T1D1_B_shotgun__bin.5, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_33726	SternesPR_2017__T1D1_B_shotgun__bin.5, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_34096	SternesPR_2017__T1D1_B_shotgun__bin.5, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
VB15-29_k141_48390	MASTER_WP4_FFoQSI_3__VB15-29__bin.28, MASTER_WP4_FFoQSI_2__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_3596	MASTER_WP4_FFoQSI_3__VB15-29__bin.38, MASTER_WP4_FFoQSI_2__VB15-29__bin.9	duplicate across MAGs
VB15-29_k141_25447	MASTER_WP4_FFoQSI_3__VB15-29__bin.38, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
VB15-29_k141_29165	MASTER_WP4_FFoQSI_3__VB15-29__bin.38, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_31829	MASTER_WP4_FFoQSI_3__VB15-29__bin.38, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_34770	MASTER_WP4_FFoQSI_3__VB15-29__bin.38, MASTER_WP4_FFoQSI_2__VB15-29__bin.9	duplicate across MAGs
VB15-29_k141_43316	MASTER_WP4_FFoQSI_3__VB15-29__bin.38, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
VB15-29_k141_471	MASTER_WP4_FFoQSI_3__VB15-29__bin.49, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_27840	MASTER_WP4_FFoQSI_3__VB15-29__bin.49, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
VB15-29_k141_36732	MASTER_WP4_FFoQSI_3__VB15-29__bin.49, MASTER_WP4_FFoQSI_2__VB15-29__bin.9	duplicate across MAGs
YaoG_2017_k141_1453	YaoG_2017__NM20-1__bin.4, YaoG_2017__NM20-3__bin.3	duplicate across MAGs
VB15-29_k141_1512	MASTER_WP4_FFoQSI_2__VB15-29__bin.9, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_932	MASTER_WP4_FFoQSI_3__VB15-29__bin.19, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_1073	MASTER_WP4_FFoQSI_3__VB15-29__bin.19, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_13965	MASTER_WP4_FFoQSI_3__VB15-29__bin.19, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_16562	MASTER_WP4_FFoQSI_3__VB15-29__bin.19, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_24596	MASTER_WP4_FFoQSI_3__VB15-29__bin.19, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
VB15-29_k141_24732	MASTER_WP4_FFoQSI_3__VB15-29__bin.19, MASTER_WP4_FFoQSI_2__VB15-29__bin.12	duplicate across MAGs
VB15-29_k141_34864	MASTER_WP4_FFoQSI_3__VB15-29__bin.19, MASTER_WP4_FFoQSI_2__VB15-29__bin.2	duplicate across MAGs
VB15-29_k141_40252	MASTER_WP4_FFoQSI_3__VB15-29__bin.19, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
SternesPR_2017_k119_1454	SternesPR_2017__Y3D3_B_shotgun__bin.2, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
